num_dscnn_layers,first_conv_filters,first_conv_kernel,first_conv_stride,depthwise_kernel,pointwise_filters,pooling_function,dropout_rate,int8_accuracy
5,32,"(8,4)","(2,2)","(3,3)",32,gap,0.2,-28.285496056079868
5,32,"(10,4)","(1,1)","(3,3)",32,max,0.0,-27.76002969741821
3,64,"(10,4)","(2,2)","(5,5)",96,max,0.2,-36.10327297449112
4,64,"(8,4)","(2,2)","(3,3)",64,max,0.3,-31.679571092128754
4,32,"(8,4)","(2,2)","(5,5)",32,max,0.3,-20.582465422153476
4,32,"(10,4)","(1,1)","(5,5)",32,max,0.3,-20.77714487314224
3,64,"(8,4)","(2,2)","(3,3)",32,max,0.2,-13.872027993202208
2,64,"(8,4)","(2,2)","(5,5)",32,max,0.3,-7.624253869056702
5,32,"(10,4)","(1,1)","(3,3)",96,gap,0.3,-59.672726714611045
2,32,"(8,4)","(2,2)","(5,5)",32,max,0.3,-5.012555301189421
